,UserId,VenueId,TimeZone,Latitude,Longitude,Category,City,CountryCode,Time,Date,Local_Time,L1_Category,RegionId,R_Latitude,R_Longitude,#checked_region,active_regionId_1,active_regionId_2,time_sort,Local_Time_True
8112,176397,4b3fcbf7f964a520feae25e3,-360,51.115835,-114.069843,Grocery Store,Calgary,CA,18:18:36,2012403,3/4/2012 18:18,Shop & Service,6,51.13595686,-114.0478197,4,8,1,3/4/2012 18:18,3/4/2012 12:18
2779,21272,4c600fd8cd522d7f1a3ccd3f,-360,51.049227,-114.079217,Building,Calgary,CA,18:24:03,2012403,3/4/2012 18:24,Professional & Other Places,3,51.04521019,-114.0721947,3,3,-1,3/4/2012 18:24,3/4/2012 12:24
1574,15239,4b8c2b39f964a520f0c132e3,-360,51.041939,-114.089416,Coffee Shop,Calgary,CA,19:30:51,2012403,3/4/2012 19:30,Drink,3,51.04521019,-114.0721947,8,3,-1,3/4/2012 19:30,3/4/2012 13:30
1575,15239,4b67279df964a520373e2be3,-360,51.084709,-114.124732,Drugstore / Pharmacy,Calgary,CA,19:50:40,2012403,3/4/2012 19:50,Shop & Service,1,51.08435347,-114.1442215,8,3,-1,3/4/2012 19:50,3/4/2012 13:50
8396,201143,4bb6a15946d4a593a095c6c0,-360,50.9299,-113.96616,Department Store,Calgary,CA,19:58:37,2012403,3/4/2012 19:58,Shop & Service,4,50.94184936,-113.9709723,6,4,-1,3/4/2012 19:58,3/4/2012 13:58
2780,21272,4c600fd8cd522d7f1a3ccd3f,-360,51.049227,-114.079217,Building,Calgary,CA,20:02:53,2012403,3/4/2012 20:02,Professional & Other Places,3,51.04521019,-114.0721947,3,3,-1,3/4/2012 20:02,3/4/2012 14:02
7510,148455,4b6c7c4af964a520ee3d2ce3,-360,50.980506,-114.041948,Furniture / Home Store,Calgary,CA,20:17:51,2012403,3/4/2012 20:17,Shop & Service,2,50.9840273,-114.0676628,3,2,-1,3/4/2012 20:17,3/4/2012 14:17
5499,53896,4b0586f0f964a520e47622e3,-360,51.047708,-114.06714,Building,Calgary,CA,20:22:48,2012403,3/4/2012 20:22,Professional & Other Places,3,51.04521019,-114.0721947,2,3,-1,3/4/2012 20:22,3/4/2012 14:22
5500,53896,4b5f15f5f964a52050a529e3,-360,51.048143,-114.065361,Coffee Shop,Calgary,CA,20:23:17,2012403,3/4/2012 20:23,Drink,3,51.04521019,-114.0721947,2,3,-1,3/4/2012 20:23,3/4/2012 14:23
5501,53896,4bef093ec80dc928c26627e3,-360,51.046466,-114.068985,Light Rail,Calgary,CA,20:38:08,2012403,3/4/2012 20:38,Travel & Transport,3,51.04521019,-114.0721947,2,3,-1,3/4/2012 20:38,3/4/2012 14:38
5502,53896,4b54e95ef964a520cdd227e3,-360,51.046318,-114.061775,Light Rail,Calgary,CA,20:45:17,2012403,3/4/2012 20:45,Travel & Transport,3,51.04521019,-114.0721947,2,3,-1,3/4/2012 20:45,3/4/2012 14:45
5503,53896,4b21a170f964a520373f24e3,-360,51.046256,-114.056676,Light Rail,Calgary,CA,20:46:24,2012403,3/4/2012 20:46,Travel & Transport,3,51.04521019,-114.0721947,2,3,-1,3/4/2012 20:46,3/4/2012 14:46
5504,53896,4b48367bf964a5202c4a26e3,-360,51.038628,-114.058299,Light Rail,Calgary,CA,20:49:14,2012403,3/4/2012 20:49,Travel & Transport,3,51.04521019,-114.0721947,2,3,-1,3/4/2012 20:49,3/4/2012 14:49
5505,53896,4bfd9fb7f61dc9b6994d9fde,-360,51.031625,-114.059029,Light Rail,Calgary,CA,20:50:58,2012403,3/4/2012 20:50,Travel & Transport,3,51.04521019,-114.0721947,2,3,-1,3/4/2012 20:50,3/4/2012 14:50
782,5554,4b47cfbff964a520cc3f26e3,-360,50.898865,-114.0692,Light Rail,Calgary,CA,20:51:02,2012403,3/4/2012 20:51,Travel & Transport,5,50.90766896,-114.0744693,8,3,-1,3/4/2012 20:51,3/4/2012 14:51
5506,53896,4b54c741f964a5200ccc27e3,-360,51.017497,-114.061432,Light Rail,Calgary,CA,20:54:03,2012403,3/4/2012 20:54,Travel & Transport,3,51.04521019,-114.0721947,2,3,-1,3/4/2012 20:54,3/4/2012 14:54
5507,53896,4b54c690f964a520eccb27e3,-360,50.996823,-114.065595,Light Rail,Calgary,CA,20:56:35,2012403,3/4/2012 20:56,Travel & Transport,2,50.9840273,-114.0676628,2,3,-1,3/4/2012 20:56,3/4/2012 14:56
5508,53896,4b54c690f964a520eccb27e3,-360,50.996823,-114.065595,Light Rail,Calgary,CA,20:59:30,2012403,3/4/2012 20:59,Travel & Transport,2,50.9840273,-114.0676628,2,3,-1,3/4/2012 20:59,3/4/2012 14:59
4797,47946,4b75f725f964a520ba322ee3,-360,51.079304,-113.9906,Grocery Store,Calgary,CA,21:20:16,2012403,3/4/2012 21:20,Shop & Service,0,51.07113762,-113.9839832,5,3,-1,3/4/2012 21:20,3/4/2012 15:20
783,5554,4b59bea7f964a520c79528e3,-360,51.046969,-114.078072,Light Rail,Calgary,CA,21:26:36,2012403,3/4/2012 21:26,Travel & Transport,3,51.04521019,-114.0721947,8,3,-1,3/4/2012 21:26,3/4/2012 15:26
8397,201143,4ba66d9af964a520715139e3,-360,50.933767,-113.960538,Hardware Store,Calgary,CA,21:29:40,2012403,3/4/2012 21:29,Shop & Service,4,50.94184936,-113.9709723,6,4,-1,3/4/2012 21:29,3/4/2012 15:29
3458,27335,4f45a9d6e4b0cc9b802a3872,-360,51.023546,-114.109709,Neighborhood,Calgary,CA,21:29:14,2012403,3/4/2012 21:29,Outdoors & Recreation,7,51.01945284,-114.133794,5,3,-1,3/4/2012 21:29,3/4/2012 15:29
2269,19012,4f32b836e4b0e6be3c743487,-360,51.037905,-114.071595,Government Building,Calgary,CA,21:47:04,2012403,3/4/2012 21:47,Professional & Other Places,3,51.04521019,-114.0721947,6,3,2,3/4/2012 21:47,3/4/2012 15:47
9217,255357,4b0586f0f964a5200c7722e3,-360,51.103306,-114.160781,Light Rail,Calgary,CA,22:33:18,2012403,3/4/2012 22:33,Travel & Transport,1,51.08435347,-114.1442215,5,1,-1,3/4/2012 22:33,3/4/2012 16:33
4798,47946,4bd711ac5631c9b6e7dea630,-360,51.075605,-113.98177,Light Rail,Calgary,CA,22:34:49,2012403,3/4/2012 22:34,Travel & Transport,0,51.07113762,-113.9839832,5,3,-1,3/4/2012 22:34,3/4/2012 16:34
5076,49529,4b0586e6f964a520cd7322e3,-360,50.949148,-113.982706,Casino,Calgary,CA,22:41:21,2012403,3/4/2012 22:41,Arts & Entertainment,4,50.94184936,-113.9709723,6,3,-1,3/4/2012 22:41,3/4/2012 16:41
5747,76333,4e8a165030f8d84840a64fc2,-360,51.006758,-114.130113,Professional & Other Places,Calgary,CA,22:45:05,2012403,3/4/2012 22:45,Professional & Other Places,7,51.01945284,-114.133794,6,7,-1,3/4/2012 22:45,3/4/2012 16:45
6104,86517,4b6e0876f964a520f8a42ce3,-360,51.098789,-114.144016,Mall,Calgary,CA,22:52:30,2012403,3/4/2012 22:52,Shop & Service,1,51.08435347,-114.1442215,5,8,1,3/4/2012 22:52,3/4/2012 16:52
5748,76333,4e1bc30e62e11cdc743c9a32,-360,51.024181,-114.110463,Liquor Store,Calgary,CA,22:58:12,2012403,3/4/2012 22:58,Shop & Service,7,51.01945284,-114.133794,6,7,-1,3/4/2012 22:58,3/4/2012 16:58
8113,176397,4f5e1ad6e4b0d8f7b872f7ea,-360,51.090063,-114.138733,Housing Development,Calgary,CA,23:10:07,2012403,3/4/2012 23:10,Residence,1,51.08435347,-114.1442215,4,8,1,3/4/2012 23:10,3/4/2012 17:10
