0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
283,913,132,331,270,1181,768,172,129,617,932,254,637,1180,1289,680,33,54,1091,1257,489,1022,971,695,136,265,915,1338,1183,1322,1270,1248,1321,1414,1141,1113,571,1185,1306,1358,1259,937,992,604,202,424,420,267,253,252,483,1314,1251,1240,1253,1061,883,110,386,257,414,1331,635,528,427,358,569,1347,455,1272,392,906,1342,856,215,165,996,1002,806,261,1271,836,268,1354,986,1243,318,875,1305,380,750,477,1046,476,60,1407,223,264,1153,171
1354,477,1407,476,223,937,1024,1054,217,1091,1025,678,178,828,189,1056,867,407,117,791,1126,319,239,315,803,931,1334,754,789,248,930,1373,207,231,581,456,1010,485,1314,811,1169,528,635,414,1331,1406,427,283,1423,913,132,331,270,1181,426,912,768,271,540,995,702,1148,1142,898,172,815,371,1194,1132,129,932,617,700,254,1073,1286,1289,1180,637,1263,680,1101,1173,33,54,1257,537,489,860,314,212,479,1272,1022,569,658,1162,398,549,159
212,330,1119,790,924,599,1175,1133,701,52,1303,206,1293,563,1068,647,1295,686,1014,1282,862,337,360,682,987,236,340,657,99,908,134,35,177,731,394,973,1103,1100,1333,156,87,789,258,501,963,1298,581,522,730,389,456,633,531,1334,1278,1195,1158,1273,59,56,1060,905,1155,100,175,552,831,605,640,1170,316,277,639,559,263,1423,28,1208,958,466,290,1363,1200,736,20,45,972,636,1383,106,1018,505,663,720,438,1222,314,0,388,860
212,330,1119,790,599,924,1293,1175,563,1133,52,701,1068,206,1303,647,1295,1014,686,1282,236,862,682,987,340,360,657,99,908,134,35,177,731,394,337,973,87,1100,1103,789,1333,501,258,730,581,633,456,156,531,1278,59,389,1334,56,1298,963,100,1060,175,831,1158,1273,1195,1155,905,1170,277,522,263,316,28,1423,466,640,552,605,736,20,639,1383,45,972,636,1208,290,663,1200,559,958,314,860,1222,0,388,1018,1162,1363,549,592,208
1354,789,1334,1024,581,456,212,477,1407,476,223,1119,217,330,1054,828,803,867,599,1423,178,189,937,407,1068,1293,791,678,1126,319,563,1056,315,117,239,790,931,754,248,930,811,231,1406,207,1373,924,1025,647,314,860,1010,1162,426,549,663,1295,1175,271,995,1133,815,371,52,236,701,206,1073,1169,1303,1014,1402,1408,183,1330,87,1091,560,479,485,1194,592,242,684,1132,855,953,826,398,159,632,397,69,550,686,1282,1101,509,383,94,95
212,1119,330,599,790,924,1293,563,1068,789,1175,1133,52,701,581,1334,456,206,1303,647,1295,1014,236,686,1282,1423,862,682,987,337,340,360,657,99,908,1024,87,35,134,177,803,731,394,973,217,828,501,1354,730,867,1100,1103,531,633,1054,258,1278,1333,314,59,663,56,860,477,156,1162,1407,549,100,175,476,223,522,389,831,963,1298,1406,178,1060,811,189,407,1273,1158,1195,592,791,1126,183,277,905,319,1155,315,239,426,560,242,263
212,330,1119,790,599,924,1175,701,1133,52,1293,1303,206,563,1068,789,647,1334,581,456,1295,337,686,1014,1282,236,360,862,1024,1354,987,682,1423,340,657,99,908,134,35,522,477,177,1103,217,731,803,394,1100,1407,828,476,973,87,1054,223,867,156,1333,501,559,1298,963,730,258,633,531,958,1363,1278,178,314,59,860,389,56,663,552,605,1195,1273,1158,189,407,905,1162,791,1126,549,1406,100,319,640,175,678,937,315,811,1060,239,1056
212,1119,330,599,789,790,924,1334,581,456,1293,563,1068,1175,1133,701,52,1303,206,647,1024,1354,1295,1423,217,477,1014,803,236,1407,828,1054,476,223,686,867,1282,862,337,682,987,360,340,87,657,99,908,178,134,35,177,189,407,731,314,860,394,791,1126,973,663,319,1406,1162,501,678,315,239,811,549,1056,1103,730,117,1100,931,531,937,754,633,248,930,231,1333,207,1278,1373,258,59,522,56,156,426,1025,271,100,175,183,815,995
789,1334,581,456,1024,212,217,803,1423,1119,1354,828,867,330,1054,477,1407,476,223,599,178,1068,189,407,1293,1406,791,1126,314,563,860,811,319,315,239,1162,931,678,1056,549,117,663,754,248,930,231,207,1373,426,271,815,995,371,790,647,1073,1010,183,1402,1408,1330,560,592,236,242,684,1025,855,632,953,826,1295,924,550,87,479,69,159,398,1014,1169,509,397,94,95,827,457,383,690,469,123,452,182,1194,937,149,384,432,1132,1101
212,330,1119,790,599,924,1293,1175,563,1133,701,52,1068,1303,206,647,1295,789,581,456,1334,1014,686,236,1282,862,337,682,987,360,340,657,99,908,134,35,177,731,394,87,973,1423,1103,1100,1333,501,156,730,258,522,633,531,1278,59,1298,963,56,389,803,1024,100,175,1158,1273,1195,1060,831,905,217,828,663,314,1155,867,860,552,605,559,640,1162,277,549,1170,958,1054,1354,263,1363,316,28,466,639,477,592,1383,1208,290,1406,1407,20
