0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
283,913,132,331,270,1181,768,172,129,617,932,254,637,1180,1289,680,33,54,1091,1257
1354,477,1407,476,223,937,1024,1054,217,1091,1025,678,178,828,189,1056,867,407,117,791
212,330,1119,790,924,599,1175,1133,701,52,1303,206,1293,563,1068,647,1295,686,1014,1282
212,330,1119,790,599,924,1293,1175,563,1133,52,701,1068,206,1303,647,1295,1014,686,1282
1354,789,1334,1024,581,456,212,477,1407,476,223,1119,217,330,1054,828,803,867,599,1423
212,1119,330,599,790,924,1293,563,1068,789,1175,1133,52,701,581,1334,456,206,1303,647
212,330,1119,790,599,924,1175,701,1133,52,1293,1303,206,563,1068,789,647,1334,581,456
212,1119,330,599,789,790,924,1334,581,456,1293,563,1068,1175,1133,701,52,1303,206,647
789,1334,581,456,1024,212,217,803,1423,1119,1354,828,867,330,1054,477,1407,476,223,599
212,330,1119,790,599,924,1293,1175,563,1133,701,52,1068,1303,206,647,1295,789,581,456
212,330,1119,790,924,599,1175,1133,701,52,1293,1303,206,563,1068,647,1295,686,1014,1282
1354,937,477,476,1407,223,1091,1024,1025,1314,1054,678,528,635,414,1331,427,1056,217,117
212,330,1119,790,924,1175,599,701,1133,52,1303,206,1293,563,1068,647,1295,686,1282,1014
212,330,1119,790,924,599,1175,1133,701,52,1303,206,1293,563,1068,647,1295,686,1014,1282
212,1119,330,599,790,1293,563,924,1068,647,1175,1133,52,1295,701,789,206,1303,581,456
283,913,132,331,270,1181,768,172,129,932,617,1289,1180,254,33,637,54,680,489,1022
212,330,1119,790,924,599,1175,701,1133,52,1303,1293,206,563,1068,647,1295,789,337,686
212,330,1119,790,599,924,1293,1175,563,1133,52,701,1068,206,1303,647,1295,1014,686,1282
212,330,1119,790,924,599,1175,1133,701,52,1303,206,1293,563,1068,647,1295,686,1014,1282
212,789,581,1334,456,1119,330,599,1068,1423,1293,563,803,647,790,314,236,860,663,828
283,913,132,331,270,1181,768,172,129,932,617,1289,1180,254,637,33,54,680,489,1022
