0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
4400,6970,7517,1824,1152,7597,7558,4112,128,799,5629,7770,3912,6093,1185,5146,6243,4147,8565,8534,90,2859,2579,1558,8031,4211,7915,7203,3843,2985,4239,5615,6541,5815,4120,6197,3869,1389,8593,4520,7371,6862,2421,3533,5535,8101,4608,7233,5399,6415
4400,1152,7597,6970,7517,7558,1824,4112,128,5629,799,7770,3912,6093,1185,5146,4762,4205,7983,1294,1353,339,5476,3774,4194,5039,7082,7740,7266,2954,5849,948,2796,4556,3416,8628,3844,3744,3186,3414,7164,4125,4043,8543,4341,5827,1650,4278,6698,1178
4400,1152,7597,6970,7517,7558,1824,4112,128,5629,799,3912,7770,4762,4205,7983,6093,1294,1353,339,5476,3774,4194,5039,7082,7740,7266,2954,5849,948,2796,4556,1185,3416,8628,3844,3744,3186,3414,7164,4125,4043,8543,4341,5827,1650,4278,6698,1178,8053
4400,1152,7597,6970,7517,7558,1824,4112,128,5629,799,7770,3912,6093,1185,5146,4762,4205,7983,1294,1353,339,5476,3774,4194,5039,7082,7740,7266,5849,2954,948,2796,4556,3416,3844,8628,3744,3186,3414,7164,4125,4043,8543,4341,5827,1650,4278,6698,8053
4400,1152,7597,6970,7517,1824,7558,4112,128,5629,799,7770,3912,6093,1185,5146,6243,4762,4205,7983,1294,1353,339,5476,3774,5039,3844,4194,7082,4556,5849,7740,3416,7266,948,2796,2954,8628,3744,3186,3414,7164,4125,8543,4043,4341,1650,6698,8053,5827
4400,1152,6970,7517,7597,1824,7558,4112,128,5629,799,7770,3912,6093,1185,5146,6243,4147,8565,8534,4762,4205,3844,7983,1294,1353,3774,339,5476,5039,7082,4194,4556,3416,5849,7740,948,2796,7266,2954,8628,3744,90,3186,3414,7164,8543,4125,4341,6698
4400,6970,1152,7517,7597,1824,7558,4112,128,5629,799,7770,3912,6093,1185,5146,3844,4762,4205,5039,3774,7983,1294,1353,4556,3416,339,5476,7082,4194,5849,948,2796,7740,7266,2954,8628,3744,3186,6698,8053,8543,3414,4341,1650,7164,1178,6347,4125,4043
4400,1152,7597,6970,7517,7558,1824,4762,4205,7983,1294,1353,3844,3774,339,5476,5039,7082,4194,4556,3416,5849,7740,948,2796,7266,4112,2954,8628,3744,3186,3414,7164,8543,4125,4341,6698,1650,8053,4043,1178,5827,6347,8196,4278,2296,128,513,776,5629
4400,6970,7517,1152,1824,7597,7558,4112,128,5629,799,7770,3912,6093,1185,5146,3844,4762,4205,5039,3416,4556,3774,7983,7082,1353,1294,5849,5476,339,4194,948,2796,8053,6698,7740,7266,8543,4341,1650,1178,8628,3744,3186,6347,3414,2296,8196,2954,7164
4400,6970,1152,7517,7597,1824,7558,3844,4762,4205,5039,3774,4556,3416,7983,1294,1353,339,5476,7082,5849,4194,4112,948,2796,7740,7266,8053,6698,8628,2954,3744,8543,3186,3414,4341,1650,1178,7164,6347,8196,4125,2296,4043,128,5827,4278,5629,513,776
